index,feature_name,description
1,layer_name,"Признак: layer_name  
Описание: Имя стратиграфической или литологической пачки горных пород, используемое для идентификации конкретного геологического слоя, характеризующего определенный интервал разреза. Выражается строковым значением (например, имя горизонта, формации). Признак важен для классификации и систематизации нефтегазовых объектов, обеспечения однозначной привязки разрезов скважин и корреляции отложений между различными скважинами и площадями."
2,layer_path,"Признак: layer_path  
Описание: Маршрутный путь распространения отдельных литолого-стратиграфических слоев в трехмерной модели геологической среды, отражающий пространственное распределение и геометрию слоев. Представлен в виде списка координат (XYZ), определяющих местоположение границ каждого стратиграфического горизонта. Единицы измерения — метры. Данный признак необходим для моделирования и визуализации структурных и тектонических особенностей, а также изучения потенциальных зон нефтегазонакопления и прогноза распределения запасов углеводородов."
3,layer_type,"Признак: layer_type  
Описание: Тип геологического слоя — классификационная характеристика слоя, отражающая его литологическое строение, структурную принадлежность и физико-химические свойства. Указывается тип породы (песчаник, аргиллит, известняк и др.) или другие признаки (аккумуляция осадков, тектонические нарушения). Единицы измерения отсутствуют. Данный признак важен для анализа нефтегазоносности, поскольку позволяет дифференцировать потенциальные продуктивные горизонты и понимать геологическую обстановку района исследований."
4,geometry_type,"Геологический признак **geometry_type** определяет тип геометрической формы геологического тела (коллектора, покрышки, источника углеводородов), представленного в трехмерной модели месторождения нефти и газа. Тип геометрии (сферическая, цилиндрическая, пластовая, куполовидная и др.) фиксируется в виде цифровой кодировки и применяется для классификации формальных особенностей коллекторов и оценки потенциальной продуктивности объектов. Единицы измерения отсутствуют. Знание типа геометрии коллектора критично для понимания гидродинамических свойств резервуара, распределения пористости и проницаемости, прогноза запасов углеводородов и разработки эффективных методов эксплуатации месторождений."
5,lon,"Признак: lon

Описание: Широта географического положения точки наблюдений, выраженная в градусах северной или южной широты относительно экватора Земли. Применяется для описания пространственного распределения геологических объектов и месторождений в Каспийском море. Важный элемент картографирования и позиционирования структур, связанных с нефтегазовыми ресурсами.
Единицы измерения: градусы (°).  
Значение важно для оценки регионального распространения литолого-стратиграфических комплексов, перспективности площадей и учета особенностей тектоники региона."
6,lat,"Признак: lat

Описание: Широта — географическая координата, указывающая положение точки относительно экватора Земли в градусах северной или южной широты. В нефтегазовой геологии Каспийского моря широта (lat) применяется для описания пространственного положения исследуемых объектов, скважин и пластов, позволяя точно определить их местоположение и взаиморасположение. Единица измерения — градусы (°). Широта важна для корректной интерпретации результатов сейсморазведки, картирования месторождений и определения оптимальных направлений бурения."
7,feature_id,"Feature_id — уникальный идентификатор геологического объекта или слоя, используемый для однозначной идентификации структур, формаций, горизонтов или отложений в базе данных. Выражается целым числом. Признак необходим для организации эффективной работы с большим объемом данных, обеспечения целостности и корректности ссылок между различными таблицами баз данных, а также упрощения поиска и классификации объектов исследования. Важность данного признака обусловлена необходимостью точной фиксации пространственного положения и характеристик каждого исследуемого элемента геологической среды."
8, PWD,"PWD (Pressure While Drilling)  
**Описание:** Глубинная запись технологических параметров бурения скважины во время её проходки, включающая изменения давления столба бурового раствора, порового давления пласта и гидростатического давления.  
**Единицы измерения:** Бар, Па, кгс/см².  
**Значение:** Позволяет оперативно отслеживать параметры бурения, выявлять аномалии пластовых давлений, контролировать целостность стенок ствола скважины и прогнозировать места возможной продуктивности. Является важным индикатором для оптимизации процесса бурения и повышения эффективности поиска и добычи углеводородов."
9,BEREG_N_ID,"Признак: BEREG_N_ID  
Описание: Уникальный идентификатор береговой линии (BEREG), используемый для привязки геологических слоев к конкретной точке побережья Каспийского моря. Указывается в виде числового идентификатора, соответствующего координатам береговой зоны. Необходим для точного позиционирования коллектора и определения прибрежной среды, влияющей на формирование коллекторских свойств и нефтегазоносность пласта.  
Единицы измерения: числовой идентификатор  
Значение признака важно для изучения распределения запасов углеводородов вдоль береговой полосы и оценки влияния гидродинамических процессов на коллекторские свойства."
10,Cорг,"Признак: «Сорг, %»
Описание: Содержание органического углерода (Carbon Organic, Сорг) в породе — показатель количества органического вещества, имеющего потенциал генерировать углеводороды. Выражается в процентах (%). Повышенные значения Сорг (обычно >0.5–1%) свидетельствуют о благоприятных условиях для образования нефти и газа. Признак применяется для оценки потенциальной нефтегазоносности отложений, особенно в осадочных бассейнах типа Каспийского моря."
11,"Cорг,%","Сорг,% — содержание органического углерода в осадочных породах, измеряемое в процентах (%). Определяет потенциальную способность породы генерировать углеводороды (нефть, природный газ), служит важным показателем нефтегазоносности. Высокий уровень содержания органического углерода (обычно ≥0.5–1.0%) свидетельствует о наличии нефтематеринских пород, способных накапливать и формировать запасы углеводородов. В Каспийском море применяется для оценки перспектив нефте- и газогенерации в осадочном чехле региона."
12,Data,"Признак: Data  
Описание: В контексте геологии Каспийского моря признак «Data» относится к набору количественных и качественных характеристик геологических объектов, используемых для интерпретации и моделирования нефтегазовых коллекторов и покрышек. Включает данные о составе пород, пористости, проницаемости, литологическом типе, толщине пласта и структурной характеристике. Единицы измерения варьируются в зависимости от параметра (проценты, метры, удельные сопротивления). Признак важен для корректной оценки потенциальных запасов углеводородов и обоснования решений по разработке месторождений."
13,Domain,"Признак: Domain

Определение: Домен — характеристика тектонического строения участка земной коры, определяющая особенности распределения осадочных толщ и нефтегазоносность региона. 

Единицы измерения: Не используются (качественная оценка).

Значение: Оценивает тектонические границы структур, наличие разрывных нарушений, антиклинали и синклинали, влияющие на распределение коллекторов и ловушек углеводородов. Признак необходим для выделения перспективных площадей и обоснования выбора направлений бурения.

Важность: Позволяет определить зоны потенциальной нефтегазоносности, предсказывать наличие скоплений углеводородов и оптимизировать выбор местоположения разведочных скважин."
14,G,"Признак: G

Описание: Градиент потенциала естественного электрического поля (G), измеряемый в мВ/м, отражает распределение потенциалов в земной коре и служит индикатором аномальных зон, связанных с нефтегазовыми коллекторами. Признак широко применяется в электроразведке для поиска структур, благоприятных для скопления углеводородов, определения глубины залегания коллекторов и прогноза продуктивности нефтеносных горизонтов. Высокая величина градиента свидетельствует о наличии трещиноватых, проницаемых пород, содержащих потенциальный резервуар нефти или газа."
15,HF,"Признак: HF  
Описание: Индекс хрупкости породы (HF), характеризующий уровень трещиноватости и деформируемости горных пород. Определяется через показатели изменения акустической жесткости или деформационных свойств образцов породы при механических воздействиях. Единицы измерения — условный индекс (баллы). Важен для оценки литологической природы коллектора, его фильтрационно-емкостных характеристик и прогноза продуктивности пластов."
16,HI,"**Признак:** HI  
**Описание:** Индекс гидрофильности (HI) — количественный показатель способности породы поглощать воду и насыщаться водными флюидами. Вычисляется путем анализа распределения порового пространства и структуры пустотного пространства. Единицы измерения отсутствуют, выражается числом условной шкалы. 

Высокий индекс гидрофильности характерен для глинистых пород и свидетельствует о высоком содержании водоносных минералов, снижении проницаемости и ухудшении коллекторских свойств. Низкий индекс указывает на меньшую водопроницаемость и потенциальную нефтегазоносность коллектора. В нефтегазовой геологии значение индекса гидрофильности применяется для прогноза эффективной нефтенасыщенности пластов и определения оптимальных зон для разработки месторождений."
17,Hf,"Признак: Hf  
Описание: 
Изотопный состав гафния (Hafnium isotope ratio), определяемый соотношением стабильных изотопов Hf-176/Hf-177, применяется для реконструкции процессов седиментации, литогенеза и тектоники осадочных бассейнов. Отражает геохимические особенности материнских пород и древних океанов, помогает уточнить возраст и историю развития геологической среды. В нефтегазовой геологии широко используется для изучения возраста пород-коллекторов, идентификации палеоокеанических обстановок и корреляции отложений, что важно для прогноза нефтегазоносности и выбора эффективных методов разведки и добычи углеводородов. Единицы измерения — весовые проценты (‰)."
18,Image,"**Признак:** Image  
**Описание:** 
Изображение (Image) — цифровой файл, содержащий визуальную информацию о структуре, составе и распределении свойств геологической среды (в основном, изображений акустической, электромагнитной и сейсмической разведки). Представляется в формате растровых или векторных графиков, часто использующихся для интерпретации и картирования нефтегазоносных объектов. В нефтегазовой геологии применяется преимущественно в сейсморазведке и сейсмокаротажных исследованиях. Не имеет единиц измерения, так как является формой представления данных, а не физического параметра.  
**Важность:** Способствует визуализации неоднородностей геологической среды, выявлению перспективных зон скопления углеводородов и определению границ резервуаров, что критично для проектирования поисковых и разведочных работ."
19,Name,"Название: **Фракционный состав обломочных зерен**

Описание: 
Представляет собой количественное распределение обломочного материала различных фракций (размеров частиц) в породе. Выражается в массовых долях (%). Важен для определения коллекторских свойств породы, прогноза пористости и проницаемости, а также диагностики литолого-петрографических типов отложений. Фракционный состав применяется при оценке перспектив нефте- и газонакопления и при проектировании методов интенсификации добычи углеводородов.

Единицы измерения: % (массовая доля)

Значение: Признак отражает способность коллектора накапливать и транспортировать углеводороды, позволяя оценить перспективы нефтеносности или газоносности конкретного участка морского шельфа."
20,O,"Признак: O

Описание: 
Параметр O обозначает объем порового пространства породы, измеряемый в процентах объема породы. В нефтегазовой геологии объем пор характеризует способность коллектора накапливать и сохранять нефть и газ. Высокая величина параметра O (обычно ≥15–20%) свидетельствует о хорошей коллекторской способности пород, необходимой для эффективной добычи углеводородов. Этот признак является важным индикатором нефтегазоносности пласта и широко применяется при оценке перспектив продуктивности скважин и проектировании разработки месторождений."
21,"P пл,МПа","Признак: Pпл, МПа  
Описание: Пластовое давление (Pпл), измеряемое в мегапаскалях (МПа), представляет собой давление насыщенных углеводородов внутри продуктивного пласта горных пород. Это критический параметр для оценки потенциальных запасов нефти и газа, а также влияния условий залегания на поведение флюидов. Низкий уровень пластового давления свидетельствует о возможной дегазации или истощении месторождения, тогда как высокое давление увеличивает риск гидроразрыва пласта и осложнений при добыче. Анализ значений Pпл необходим для обоснования стратегии разработки месторождений и выбора оптимального способа эксплуатации."
22,PI,"Признак: PI  
Описание: Показатель пористости (PI), измеряемый в процентах (%), характеризует долю пустотного пространства в горной породе, заполненного флюидами (нефтью, газом, водой). Важный индикатор нефте- и газонасыщенности коллектора, используемый для оценки перспектив нефтегазоносности и эффективности разработки месторождений. Высокий уровень пористости (обычно ≥15–20%) свидетельствует о хороших условиях накопления углеводородов."
23,PWD,"Признак PWD (well depth)  
Определение: Параметр, характеризующий глубину скважины относительно устья или нулевого отсчета.  
Единицы измерения: Метры (м).  
Значение: Важный параметр для определения глубины залегания пласта, расчета интервалов отбора керна, оценки эксплуатационных характеристик скважины и сопоставления результатов бурения различных участков месторождения.  
Значимость: Позволяет оценить запасы углеводородов, определить оптимальные места установки оборудования и выявить наиболее перспективные горизонты для добычи нефти и газа."
24,Pg,"Признак: Pg  
Описание: Потенциальная нефтенасыщенность породы (Pg), выраженная в долях единицы (безразмерный коэффициент). Определяет долю порового пространства коллектора, занятого нефтью. Является ключевым параметром для оценки коллекторских свойств пород и прогноза запасов нефти. Высокая Pg свидетельствует о хороших условиях накопления и сохранения углеводородов."
25,R0,"Признак: **R0**

Описание: Относительная электрическая сопротивляемость (R0) — это отношение электрического сопротивления керна образца породы к удельному сопротивлению пресной воды, используемое для оценки пористости, насыщенности углеводородами и определения перспектив нефтегазоносности пласта. Выражается в относительных единицах безразмерной шкалы (без единиц). Высокие значения R0 свидетельствуют о низкой пористости и высокой насыщенности нефтью или газом, низкие значения — о повышенной пористости и возможной водонасыщенности.

Почему важен: R0 играет ключевую роль в интерпретации результатов каротажа скважин и является одним из основных критериев отбора целевых горизонтов при разведке и разработке месторождений нефти и газа.

Расшифровка аббревиатуры: R0 = Relative resistivity"
26,"Rо,%","Признак: Ro,%
Описание: Относительная отражательная способность витринита (Ro), измеряемая в процентах, является ключевым показателем зрелости битуминозного органического вещества в кернах геологических образцов. Она отражает степень термического преобразования органики под действием температуры и давления, влияя на нефтегазообразующие свойства породы. Рост значений Ro свыше 0.7–1.0% указывает на начало процессов нефтепроизводства, тогда как Ro > 1.3% соответствует стадии образования газов. Данный признак широко применяется для предварительной оценки перспектив нефтеносности и прогноза нефтегазоносности коллекторов в нефтегазовой геологии."
27,"T пл,С","Признак T пл,С  
Описание: Температурный порог плавления минералов (T пл), измеряемый в градусах Цельсия (°C). Характеризует температуру начала фазового перехода минеральной фазы породы из твердого состояния в жидкое, определяя стабильность минеральных зерен и пластовых флюидов. Применим для оценки термобарических условий формирования месторождений углеводородов и стабильности коллекторов в условиях осадочного бассейна Каспийского моря.  
Значение: Важен для понимания температурных режимов осадочных бассейнов и определения зон возможной миграции и накопления углеводородов."
28,TR,"Признак TR
Описание: Тепловой индекс ROSENBORG (TR), используемый для количественной оценки термического созревания битуминозных сланцев и органического вещества в осадочных породах нефтегазовых бассейнов. Представляет собой комплексный показатель, объединяющий температуру и продолжительность теплового воздействия на органическое вещество, измеряемый в условных единицах (ROSENBORG units). Позволяет прогнозировать потенциал нефтегазоносности отложений, наличие и тип углеводородов (нефть, природный газ).

Единицы измерения: условные единицы ROSENBORG (ROSENBORG units)
Значение признака важно для нефтегазовой геологии, поскольку отражает уровень зрелости органического вещества, определяющий возможность образования углеводородов и потенциальную нефтеотдачу пласта."
29,Tmax,"Признак Tmax  
Описание: Температура максимальной эффективности термического катализа битуминозной части керогена (битумов), измеряемая в градусах Цельсия (°C). Указывает температуру, при которой происходит максимальная глубина преобразований органического вещества в керогене, способствуя выделению углеводородов. Является ключевым параметром для прогноза нефтегенерационной способности материнских пород и определения перспектив нефтегазоносности.
   
Единицы измерения: °C  
Значение: Чем выше значение Tmax, тем большая вероятность наличия значительных запасов нефти и газа в исследуемом слое."
30,X,"Признак: «**Сплошность нефтенасыщенности**, %»
  
Описание: Сплошность нефтенасыщенности — относительный показатель степени заполнения порового пространства коллектора жидкими углеводородами, выраженный в процентах. Оценивает долю нефтенасыщенных пор относительно общего объема пустотного пространства породы-коллектора. 
   
Единица измерения: проценты (%).

Значение данного показателя важно при оценке нефтегазоносности пласта, поскольку высокая сплошность позволяет эффективно извлекать углеводороды из коллектора. Низкая сплошность затрудняет фильтрационные процессы и снижает потенциальную продуктивность месторождения.

Признак используется в разрезах нефтяных горизонтов и коллекторов для количественной характеристики насыщенности пород углеводородами и прогнозирования эксплуатационных характеристик скважины."
31,Y,"Признак: Y

Описание: Геологический признак Y применяется для описания литолого-стратиграфической характеристики геологических слоев Каспийского региона, связанных с нефтегазовой геологией. Представляет собой относительный индекс, характеризующий тип породы и её петрофизические свойства, влияющие на нефте- и газонакопление. Единицы измерения отсутствуют. Признак важен для дифференциации продуктивных и непроницаемых горизонтов, прогноза коллекторских свойств и определения перспектив нефтегазоносности изучаемых отложений."
32,id,"Признак: id  
Описание: Уникальный идентификатор записи в базе данных геологических слоев Каспийского моря, предназначенный для однозначной идентификации каждого геологического элемента. Не имеет единиц измерения. Признак необходим для обеспечения целостности данных и корректного проведения статистической обработки и корреляций между различными геологическими объектами."
33,АВПД,"АВПД — аномалия вертикального градиента давления, характеризующаяся отклонением от нормального гидростатического распределения пластового давления. Выражается в мегапаскалях (МПа). Применяется для выявления зон аномально высокого давления, указывающих на возможные скопления углеводородов, особенно при разведке и оценке перспектив нефтегазоносности осадочных бассейнов, включая Каспийское море. АВПД является важным индикатором наличия скоплений нефти и газа в глубоких горизонтах, позволяя корректировать стратегию бурения и разработку месторождений."
34,Ад УВ,"Признак: «Ад УВ»
Описание: Адсорбционная емкость (Ад УВ) — объем адсорбированных углеводородов (УВ), приходящийся на единицу массы породы, измеряется в кубических сантиметрах на грамм (см³/г). Определяет общую емкость адсорбционного пространства коллектора, влияющую на удерживающую способность пласта относительно УВ. Высокое значение Ад УВ характерно для коллекторов с развитым поровым пространством и низким водонасыщением, указывая на потенциальную нефте- или газоемкость. Важна для оценки потенциальных запасов углеводородов и прогнозирования продуктивности скважин."
35,Ад г.,"Признак: «Ад г.»

Описание: Ад г. — абсолютная глубина скважины до кровли исследуемого пласта, измеряемая в метрах от устья скважины. Является критическим параметром при оценке запасов углеводородов, расчете дебитов скважин и выборе оптимальных технологических решений для разработки месторождений. Глубинные параметры позволяют уточнить геологическое строение объектов, прогнозировать изменение свойств коллекторов и определять направления дальнейших исследований."
36,Ад н.,"Признак: «Ад н.»

Описание: Ад н. (от англ. «API degree of net pay») — коэффициент открытой пористости проницаемых коллекторских горизонтов, выраженный в единицах API (Американский институт нефти). Применим исключительно к нефтеносным и газоносным коллекторам. Используется для оценки эффективности нефтегазонакопления и прогноза запасов углеводородов. Чем выше значение Ад н., тем лучше коллекторские свойства породы и перспективнее объект для разработки. 

Единицы измерения: API.  
Почему важен: Ад н. позволяет объективно оценить потенциал продуктивности пласта и количественно сравнить различные объекты, выявленные в процессе разведки месторождений."
37,Взрыв,"Признак: Взрыв  
Описание: В контексте нефтегазовой геологии взрыв обозначает геологическое событие, характеризующееся резким высвобождением энергии внутри горной породы вследствие естественных процессов (терморазрыв, ударная волна). Обычно фиксируется при сейсмическом профилировании и отражает наличие разрывных нарушений, трещин или зон пониженного сопротивления, связанных с потенциальными коллекторами углеводородов. Единица измерения — секунда (с), реже — микросекунда (мкс). Признак важен для оценки характера трещиноватости, проницаемости и потенциальных путей миграции углеводородов."
38,Во-ст,"Признак: «Во-ст»

Описание: Во-ст (водо-нефтяной контакт, ВНК) — граница раздела между насыщенной водой частью продуктивного горизонта и нефтенасыщенным пластом-коллектором. Отмечается в метрах относительно опорной отметки, например абсолютной высоты (АХ). Определение положения ВНК важно для расчёта запасов нефти, построения моделей вытеснения воды и прогноза добычи углеводородов.

Единица измерения: м

Значение: Позволяет оценивать запасы нефти, оптимизировать разработку месторождений, определять границы зон естественного заводнения и прогнозировать динамику изменения водонефтяного фактора. Определение точного положения ВНК влияет на выбор технологии разработки и эффективность извлечения нефти."
39,Возра,"Возра — возраст отложений (возрастная характеристика), выраженный в млн лет (млн.л.). Возраст геологических образований является важным фактором прогноза нефтегазоносности, определяющим зрелость органических веществ, присутствующих в породах, особенности литологии, фильтрационно-емкостные свойства коллекторов и тектоническую обстановку региона. Знание возраста позволяет корректно интерпретировать данные сейсморазведки, проводить корреляцию разрезов и устанавливать взаимосвязи между продуктивными горизонтами и условиями накопления углеводородов."
40,Возраст,"Признак: Возраст  
Описание: Возраст геологического слоя или объекта определяется временной характеристикой, отражающей положение слоя относительно хронологической шкалы геологического времени. В нефтегазовой геологии возраст служит ключевым параметром для интерпретации условий осадконакопления, палеоклиматических обстановок и потенциальной нефтегазоносности отложений. Возраст измеряется в миллионах лет (млн.л.) и выражается относительными терминами (ранний, средний, поздний этапы геологического развития). Определение возраста позволяет правильно интерпретировать пространственное распределение нефтеносных горизонтов и планировать разведочное бурение."
41,ГАУС,"Признак: ГАУС

Описание: Газосодержащая автохтонная толща (ГАУС), используемый индекс для характеристики нефтегазоносных отложений Каспийского региона. Представляет собой региональную геологическую формацию, сформированную внутри единой области осадконакопления, характеризующуюся однородностью литолого-стратиграфической природы и генетически связанной с материнской толщей, содержащей запасы углеводородов. Единицы измерения — процент содержания углеводородов (%). Важность данного показателя обусловлена возможностью определения потенциальных запасов нефти и газа, прогнозирования продуктивности скважин и выбора перспективных зон для разведки и добычи углеводородов."
42,Геол.,"**Геол.**  
Стратиграфическое положение геологического слоя относительно опорной стратиграфической шкалы (интервал, формация, свита). Единицы измерения — метры, глубина. Признак необходим для определения возраста, положения и границ изучаемых горизонтов, анализа соотношения пород-коллекторов и покрышек, выявления потенциальных ловушек углеводородов, прогноза продуктивности скважин и выбора оптимальных направлений для бурения."
43,Гл-на,"Признак: Гл-на  
Описание: Глубинная отметка нефтеносной зоны — числовое значение глубины залегания верхней границы нефтенасыщенного пласта относительно условного начала отсчета (чаще всего относительной отметки уровня моря). Единица измерения — метры. Данный признак применяется для количественной оценки пространственного положения продуктивных горизонтов и позволяет определять оптимальные места заложения разведочных и эксплуатационных скважин, анализировать геологическое строение осадочного бассейна и прогнозировать объемы запасов углеводородов."
44,Глуб.,"Глуб. (глубина), м  
Глубина погружения геологического пласта или объекта относительно уровня моря или земной поверхности. Данный признак является критическим фактором при оценке коллекторских свойств пород, прогнозировании нефтегазоносности и выборе местоположения буровых работ. Глубина измеряется в метрах и оказывает значительное влияние на температуру, давление и состав флюидов в коллекторах. Чем глубже залегает продуктивный горизонт, тем чаще возрастают температура и давление, что способствует увеличению нефтегазоносности и улучшению качества углеводородов."
45,Глуби,"Глуби, м  
Глубины залегания отдельных геологических горизонтов или объектов относительно поверхности дна Каспийского моря. Указываются в метрах от среднего уровня моря и являются важным параметром для определения условий осадконакопления, литолого-стратиграфической характеристики разреза, а также выбора оптимальных местоположений разведочных и эксплуатационных скважин."
46,Глубина,"Признак: Глубина  
Описание: Глубина — показатель положения геологического слоя относительно опорной точки (обычно поверхность Земли или уровень моря). В нефтегазовой геологии служит критическим параметром для понимания условий осадконакопления, литологической обстановки, тектоники и перспектив нефтегазоносности участка. Единица измерения — метры (м). Высокая точность глубины важна для обоснования выбора местоположения разведочных и эксплуатационных скважин, прогноза структурных формирований и определения оптимальных глубин бурения."
47,"Глубина,м","Глубина, м  
Геологический признак, характеризующий расстояние от поверхности до нижней границы исследуемого геологического слоя или объекта, измеряемое в метрах. Глубина является ключевым параметром для понимания термобарических условий формирования осадочных пород, прогноза залежей углеводородов и проектирования разработки месторождений нефти и газа. Позволяет оценить глубину проникновения зон трещиноватости, степень воздействия тектонических процессов и температурных градиентов на нефтеотдачу пластов."
48,Год,"Признак: «Год»
Описание: Год — временной интервал, характеризующий возраст геологического слоя или события, фиксируемый посредством абсолютной датировки методами радиоизотопного анализа (урана-свинца, аргона-калия, рубидия-стронция и др.). Выражается в годах назад (лет до н.э., млн лет). В нефтегазовой геологии применяется для определения возраста пород, установления временных границ нефтегазоносных горизонтов и корреляции разрезов между различными скважинами и площадями. Важность признака обусловлена необходимостью корректного стратиграфического расчленения разреза и выявления закономерностей осадконакопления, влияющих на накопление углеводородов."
49,Год з�,"Признак: «Год з⾸»

Описание: Год закладки керна — дата отбора образца породы или кернового материала в процессе бурения скважины. Единица измерения — календарный год. Признак применяется преимущественно в Каспийском море и служит временным ориентиром для корреляции отложений и определения возраста пород, а также для отслеживания изменений фациальной обстановки и условий осадконакопления. Позволяет оценивать динамику изменения геологической среды и её влияние на формирование нефтегазовых коллекторов. Важность данного показателя заключается в возможности проследить хронологическую последовательность накопления осадочных толщ и выявления зон с потенциальной нефтегазоносностью."
50,Загря,"Признак: Загря

Описание: Загря — комплексный индекс, характеризующий глубину катагенетической преобразованности органического вещества в осадочных породах Каспийского региона. Представляет собой интегральный показатель степени развития катагенеза, включающий температуру, давление и продолжительность процесса. Вычисляется в условных единицах (баллах), отражает потенциальную нефтегазоносность породы. Высокая величина Загря (≥8 баллов) свидетельствует о благоприятных условиях для накопления и сохранения углеводородов."
51,Засол,"Засол (Z%, промилле)
Засол — содержание солей (преимущественно хлоридов натрия и калия) в поровом растворе осадочных пород. Выражается в процентах (%), промилле (‰) или г/л. 

Значение засола является важным индикатором солевого состава подземных вод и отражает литологическую природу и палеогеографические условия образования пород. В контексте нефтегазовой геологии повышенное значение засола часто связано с повышенной плотностью флюида, снижением подвижности нефти и газа, затруднением миграции углеводородов и ухудшением коллекторских свойств породы. Знание засола помогает корректно интерпретировать данные геофизики и гидрохимии, прогнозировать нефтеотдачу пласта и разрабатывать эффективные методы повышения нефтеотдачи."
52,Зона,"Признак: Зона  
Описание: Геологическая зона — это ограниченная область земной коры, характеризующаяся общими признаками литолого-стратиграфической обстановки, фациальной принадлежности и определенными условиями нефтегазоносности. В контексте нефтегазовой геологии Каспийского моря зоны выделяются по наличию характерных комплексов горных пород, содержащих коллекторы углеводородов, уровню гидрогеохимии, условиям накопления и сохранения углеводородов. Обычно выражается словами или номерами (например, Бинагадинская зона). Эта характеристика важна для выявления перспективных площадей и прогноза нефте-газоносности отдельных участков морского шельфа."
53,Зр-ть,"Признак: Зр-ть

Описание: Зр-ть — зрительная толщина продуктивного горизонта, определяемая методами сейсмогеологической интерпретации и отражающая суммарную толщину литологически однородной части коллекторов с хорошими фильтрационно-емкостными свойствами. Единица измерения — метры. Является важным показателем при оценке потенциальных запасов углеводородов и планировании разработки месторождений, позволяя оценить эффективность вскрытия продуктивных пластов и потенциальный дебит скважин."
54,Истoчник,"Признак: Источник  
Описание: Источник (SOURCE) — тип геологической структуры, характеризующий локализацию скоплений углеводородов, выделенных в осадочных породах. Обычно представляет собой структурный элемент, связанный с ловушкой углеводородов, такой как антиклиналь, соляной купол или вулканический конус. Важность источника заключается в определении местоположения потенциальных резервуаров нефти и газа, а также степени сохранения углеводородов в результате миграции и накопления. Не измеряется количественно."
55,Источ,"Признак: «Источ»

Описание: «Источник воды — литологическое тело или участок пласта-коллектора, характеризующийся устойчивым водоносным потенциалом и возможностью выхода подземных вод на поверхность или поступления в скважины. Водоносность оценивается величиной дебита источника, измеряемого в кубометрах в сутки (м³/сут). Источники важны для оценки гидрогеологической обстановки района, определения направления фильтрации флюидов и корректировки планов разработки месторождений углеводородов.»

Единицы измерения: м³/сут

Значение для нефтегазовой геологии: Оценка источников позволяет определить условия миграции углеводородов, уточнить местоположение коллекторов и границы зон обводнения месторождения, влияющих на эффективность добычи нефти и газа."
