index,feature_name,description
56,Источник,"Признак: Источник
Описание: Геологический источник представляет собой зону или структуру земной коры, содержащую потенциальные запасы углеводородов (нефть, природный газ). В контексте нефтегазовой геологии источниками являются ловушки, резервуары, флюидонасыщенные породы и тектонические элементы, формирующие условия накопления углеводородов. Не измеряется конкретными единицами, однако оценивается через параметры продуктивности, глубины залегания, литолого-стратиграфические особенности и тектоническое строение. Важность признака обусловлена возможностью прогноза перспективной нефтегазоносности исследуемых участков и корректного выбора местоположения разведочных скважин."
57,Источники,"Признак: Источники  
Описание: Геологический признак «Источники» относится к характеристикам коллекторов углеводородов, отражая наличие природных резервуаров, заполненных нефтью, газом или смешанными флюидами. Признак применяется преимущественно в Каспийском море и позволяет оценить запасы углеводородов и потенциальную продуктивность месторождения. Единицей измерения является объемный процент (%). Данный признак играет ключевую роль в прогнозировании нефте- и газонакопления, планировании разработки месторождений и оценке экономической целесообразности освоения участков."
58,Кораб,"Признак: Кораб, м
Описание: Толщина корабля — расстояние между кровлей и подошвой песчаного пласта в метрах, характеризующая толщину продуктивного горизонта. Важный параметр для определения запасов углеводородов и оценки эффективности эксплуатации месторождений, особенно при изучении песчаников с ограниченной мощностью."
59,"Кп,%","Признак: «Кп,%»

Описание: Коэффициент пористости (Кп) — количественная характеристика пустотного пространства породы, выраженная в процентах (%). Представляет собой отношение суммарной открытой пористости породы ко всему её объёму. В нефтегазовой геологии Кп является ключевым показателем для оценки коллекторских свойств горных пород и прогноза запасов углеводородов. Низкий коэффициент пористости (<5–10%) свидетельствует о слабых коллекторах, высокий (≥20–30%) — о хороших условиях накопления нефти и газа."
60,Литол,"Литол (%)
Геологический признак, характеризующий содержание литографических компонентов (литотипов) в горной породе, выраженный в процентах. Включает доли песчаников, алевролитов, аргиллитов, известняков и доломитов, определяющих механические свойства и коллекторские характеристики пород. Важен для анализа пористости, проницаемости и нефтегазоносности отложений."
61,Литология,"Литология
Определение и содержание: Литологический признак отражает тип породы, её минеральный состав, структуру, текстуру и характер слоистости. Применяется для описания строения и состава осадочных горных пород, имеющих значение для выявления и изучения месторождений нефти и газа.

Единицы измерения: литологическое описание осуществляется качественно (например, песчаник, аргиллит, известняк), реже количественно (в % содержания отдельных минералов).

Значение: Характеристика литологии позволяет определить физические свойства пород (пористость, проницаемость, трещиноватость), их коллекторские качества, потенциальную нефтегазоносность и возможность эффективного дренажа углеводородов. Анализ литологического разреза помогает прогнозировать местоположение продуктивных горизонтов и оптимизировать стратегии разработки месторождений."
62,Мощно,"Признак: Мощность, м  
Описание: Мощность — толщина литолого-стратиграфического комплекса горных пород или отдельного пласта, измеряемая в метрах. Важный индикатор нефте- и газонакопления, отражающий потенциальную продуктивность отложений. Высокая мощность пласта свидетельствует о длительном периоде осадконакопления и увеличенном объеме органического вещества, что способствует накоплению больших запасов углеводородов."
63,Мощность,"**Мощность**

Мощность — это толщина отдельного пласта горных пород или коллектора, измеряемая в метрах (м). В нефтегазовой геологии мощность играет ключевую роль при оценке потенциальной продуктивности отложений, поскольку она определяет объем содержащегося в породе флюида (нефть, газ, вода), доступный для извлечения через скважины. Высокая мощность пласта повышает вероятность наличия промышленных скоплений углеводородов и облегчает разработку месторождения. Мощность часто является одним из основных критериев выбора объектов для дальнейшего изучения и разведки."
64,НПЗ,"Признак: НПЗ (нефтеотдающая зона)

Описание: Нефтеотдающая зона (НПЗ) — количественный показатель, характеризующий объем извлекаемых углеводородов относительно общей нефтенасыщенной толщи коллектора. Выражается в долях (процентах), отражая эффективность процесса добычи нефти из конкретного пласта. 

Единицы измерения: процент (%).

Значение данного показателя важно для прогнозирования потенциальной продуктивности месторождения, определения оптимального режима эксплуатации и выбора наиболее эффективных методов повышения нефтеотдачи.

Расшифровка аббревиатуры: НПЗ = нефтеотдающая зона."
65,Назва,"**Признак:** Назва

**Описание:** 
«Назва» — относительный коэффициент нефтегазонасыщенности коллекторов, выраженный в процентах. Характеризует долю нефтенасыщенных порового пространства породы относительно общего объема пустот коллектора. Применим исключительно к осадочным породам-коллекторам, характеризующимся наличием трещинной, каверновой и поровой флюидонасыщенностью. В нефтегазовой геологии служит индикатором потенциала продуктивности коллектора и степени эффективности эксплуатации месторождений.

**Единица измерения:** %  

**Значение признака:** Высокий уровень показателя («Назва» ≥80–90%) свидетельствует о благоприятных условиях для извлечения углеводородов, низкой — о необходимости доразведки и улучшения охвата добычи."
66,Название,"Название: **Кислотность вод, pH**

Описание: Кислотность воды (pH) — мера активности ионов водорода в растворе, характеризующая уровень кислотности морской воды в пределах от 0 до 14 единиц. В нефтегазовой геологии Каспийского моря используется для определения степени влияния сероводорода и органических соединений, оказывающих влияние на сохранность коллекторских свойств осадочных пород. Низкий pH (<7,0) свидетельствует о высокой коррозионной агрессивности среды, ухудшающей коллекторские свойства пород-коллекторов.

Единицы измерения: **единицы рН (безразмерная величина)**  
Значение менее 7,0 считается кислой средой, приближающейся к нейтральному значению при pH = 7,0.

Важность признака: Определение кислотности водной среды важно для прогноза потенциальной нефтеотдачи пластов, выявления коррозионно-активных зон, выбора методов повышения нефтеотдачи и подбора оборудования для эксплуатации месторождений."
67,Наиме,"Наиме (Naime)  
Наиме — относительный коэффициент нефтеотдачи породы-коллектора, характеризующий эффективность извлечения нефти в условиях конкретного пласта. Выражается в долях единицы (обычно десятичной дробью). Высокое значение Наиме свидетельствует о благоприятных коллекторах, обеспечивающих эффективную добычу нефти. Признак используется для прогнозирования коэффициента нефтеизвлечения и оптимизации разработки месторождений, особенно на стадии проектирования и планирования эксплуатации добывающих объектов."
68,Напра,"Признак: Напра  
Описание: Направление естественного наклона пласта (Напра), измеряемое в градусах относительно горизонтали, отражает положение пластовых слоев в пространстве. Признак применяется преимущественно при интерпретации сейсмических и гравиметрических данных, характеризуя тектоническую обстановку района и распределение резервуаров углеводородов. Анализ Напра помогает уточнить геометрию коллекторов, определить возможные направления миграционных путей флюидов и выявить перспективные зоны для разведки и добычи нефти и газа."
69,Направлени,"Признак: Направление,°  
Описание: Угловое направление простирания слоистой структуры горных пород, измеряемое относительно сторон света (север, восток, юг, запад). В нефтегазовой геологии используется для описания ориентировки пластовых флюидов, трассировки коллекторов и оценки структурной геологической модели месторождения. Измеряется в градусах. Определение направления важно для понимания гидродинамических процессов, оптимизации разработки месторождений и прогноза продуктивности скважин."
70,Номер,"Признак: «Номер»
Описание: Нумерация геологических объектов и слоев (коллекторов, пластов, интервалов) позволяет однозначно идентифицировать каждый элемент геологической модели месторождения и обеспечить структурированность данных в базе. Представляется целым числом или последовательностью символов, указывающих уникальный идентификационный номер элемента. Важна для корректной организации и анализа геолого-геофизической информации, управления скважинами и мониторинга процессов разработки месторождений."
71,Обста,"Признак: «Обста»
Описание: Обста — относительная мощность (в процентах) нефтегазонасыщенных пластовых резервуаров относительно общей мощности разреза породы-коллектора. Определяется отношением суммарной толщины насыщенных углеводородами интервалов к общей толщине коллектора, измеряется в процентах (%). Признак применяется для оценки перспектив нефтегазоносности и эффективности разработки месторождений в Каспийском море, позволяя выделить наиболее продуктивные интервалы и прогнозировать потенциальный дебит скважин."
72,Обстановка,"**Признак:** Обстановка  
**Единицы измерения:** Не применяются  
**Определение:** Характеристика литолого-стратиграфической обстановки осадконакопления геологического слоя, отражающая палеотемпературные, палеогидродинамические и палеогеографические условия среды седиментации.  
**Значение:** Важна для понимания особенностей формирования пород-коллекторов, генезиса и миграции углеводородов, прогноза продуктивности нефтегазовых объектов. Позволяет установить типы осадков, первичные поровые пространства, оценить перспективы нефтеносности и газоносности.  
**Расшифровка:** Без сокращений"
73,Объем,"Признак: Объем, м³

Описание: Геологический признак «объем» характеризует количественное содержание углеводородов в пласте или коллекторе, выражаемое в кубометрах. Применим для оценки потенциальных запасов нефти и газа, используемых при планировании разработки месторождений и подсчете ресурсов. В нефтегазовой геологии объем служит одним из основных критериев прогноза коммерческой продуктивности месторождения.

Единица измерения: метр кубический (м³).

Значение признака важно для расчета извлекаемых запасов, экономической эффективности проекта освоения и принятия решений о рентабельности разработки месторождения."
74,Обьем,"Объем — количественная характеристика массы или объема породы-коллектора, вмещающей флюиды (нефть, газ), выраженная в кубических метрах (м³). Применим преимущественно к коллекторам порового типа, характеризует размеры нефтенасыщенных и газонасыщенных интервалов разреза. В рамках анализа нефтегазоносности позволяет оценить потенциальный запас углеводородов, степень заполнения порового пространства коллектором и прогнозировать эффективность разработки месторождения."
75,Отдел,"Отдел — структурная единица стратиграфической шкалы, отражающая определенный этап геологической истории Земли, характеризующийся единством литолого-петрографических признаков осадочных толщ и последовательностью накопления отложений. В нефтегазовой геологии отдел соответствует интервалу отложений определенной временной протяженности, объединяющий несколько свит и горизонтов. Термин часто используется совместно с системой и ярусом, образуя трехчленную иерархию геологических подразделений (система → отдел → ярус). Не имеет единиц измерения. Признак необходим для классификации и корреляции разрезов, определения возраста и реконструкции палеогеографической обстановки региона, что важно для прогноза нефтегазоносности."
76,Палео,"Признак: «Палео»

Описание: «Термин „палео“ обозначает ископаемые остатки древних организмов (фоссилии), обнаруженные в осадочных породах и отражающие палеогеографические условия прошлых эпох. В нефтегазовой геологии изучаются палеонтологические признаки для определения возраста отложений, палеоклиматических особенностей региона, реконструкции палеорельефа дна и прогнозирования условий накопления углеводородов. Определение возраста пород позволяет корректно интерпретировать последовательность седиментационных событий и корректно оценивать перспективы нефтегазоносности исследуемого района.»

Единицы измерения: Не используются напрямую, применяется стратиграфическая шкала времен (млн лет назад).  
Значение признака важно для: определения геологической истории региона, оценки потенциала нефте- и газонакопления, выбора перспективных направлений поисковых работ."
77,Пласт,"Пласт
Определение пласта — природного резервуара горных пород, содержащего нефть, газ или конденсат, ограниченного сверху и снизу непроницаемыми покрышками. В нефтегазовой геологии пласт измеряют толщиной в метрах (м), пористостью (%), проницаемостью (мД), насыщенностью нефтью или газом (%). Характеристики пласта определяют потенциальную продуктивность месторождения и возможность эффективного извлечения углеводородов. Правильная интерпретация свойств пласта является ключевым фактором при выборе стратегии разработки и бурения месторождений."
78,Платф,"Платф (плита, платформа) — горизонтально залегающий слой породы толщиной до нескольких метров, часто приуроченный к отложениям платформенного типа (например, известняки, доломиты). Платфы являются типичными элементами осадочных бассейнов, включая Каспийское море, где служат ловушками углеводородов благодаря своей плотному строению и низким проницаемостям боковых пород. Важность платф обусловлена возможностью образования ловушек нефти и газа, наличием мощных коллекторов над ними и использованием их в качестве сейсмогеологических маркеров для поиска месторождений. Не измеряется в конкретных единицах."
79,Пленк,"Признак: Пленк (Пл%)
Описание: Пленковый индекс (Пл%), характеризующий отношение эффективной толщины нефтенасыщенной части пласта к общей мощности насыщенного интервала, является важным показателем распределения углеводородов внутри коллектора. Расчет выполняется в процентах и отражает долю эффективной нефтенасыщенной толщи относительно всей исследуемой области коллектора. Пл% применяется для оценки продуктивности и потенциальной добычи углеводородов, позволяет оптимизировать выбор участков для разработки месторождений и прогнозировать извлекаемые запасы."
80,Площа,"Признак: «Площа»

Описание: Площадь распространения геологического элемента или тела, определяемая на карте или разрезе площади контакта двух литотипов, фаций или структурных элементов. Единицы измерения — квадратные километры (км²). Площадной анализ широко применяется в нефтегазовой геологии для изучения распространения коллекторов, нефтегазонакопительных ловушек и прогноза перспектив нефтегазоносности регионов, особенно на шельфовых акваториях, таких как Каспийское море."
81,Площадь,"Признак: Площадь, км²  
Описание: Геологическая площадь — это измеренная территория распространения конкретного геологического тела или слоя в пределах изучаемой области. В нефтегазовой геологии применяется для описания размеров нефтегазовых структур, резервуаров или потенциальных ловушек углеводородов. Обычно выражается в квадратных километрах (км²).  
Единицы измерения: км²  
Значение: Позволяет оценить масштаб распространенности и потенциальную продуктивность исследуемых объектов, а также определить целесообразность проведения дальнейших работ, связанных с разведкой и добычей углеводородов."
82,Порст,"Признак: Порст

Описание: Пористость породы (Порст) — относительная характеристика, отражающая объем порового пространства в горной породе, доступного для насыщения флюидами (нефтью, газом, водой). Выражается в долях единицы (процентах, десятичных дробях), где значение 100% соответствует полному заполнению пор жидкостью или газом. Для нефтегазовых объектов значимые пористые коллекторы имеют пористость свыше 10–15%. Оценка пористости необходима для прогноза продуктивности коллектора, расчета запасов углеводородов и выбора оптимальных методов разработки месторождений."
83,Профи,"Признак: «Профи»

Описание: Профильность геологического разреза, характеризующая пространственное распределение мощности, типа, состава и степени литификации осадочных отложений вдоль заданной линии профиля. Выражается в процентах относительно общей длины профиля. Признак применяется преимущественно в структурно-геологическом анализе и служит основой для выделения перспективных зон нефтегазонакопления, построения структурных карт и интерпретации сейсмогеологических моделей.

Единица измерения: % 

Значение: отражает особенности строения пластового комплекса, его потенциальную нефтегазоносность и эффективность разведки месторождений.

Важность: профильный разрез позволяет точно оценить геометрию и конфигурацию ловушек, уточнить прогнозируемые запасы углеводородов и оптимизировать стратегию бурения."
84,Профиль,"Признак: «Профиль»

Описание: Геологический профиль — вертикальное сечение разреза земной коры, отображающее изменение литологического состава, мощностей, фаций и структурно-тектонических элементов вдоль выбранной линии местности или карты. В нефтегазовой геологии профили служат основой для изучения стратиграфии, расчёта глубин залежей, построения моделей резервуаров и прогноза нефте-газоносности. Профили измеряются в метрах или километрах, часто используются цифровые модели рельефа и глубин (ЦМРД).

Значение: Профиль позволяет определить последовательность отложений, выделить перспективные зоны накопления углеводородов, выявить коллекторы и покрышки, а также оценить возможности разведки и разработки месторождений. 

Расшифровка аббревиатуры отсутствует."
85,Разл.,"Разл. — Разделение пласта
Разделительная поверхность между двумя смежными геологическими слоями, фиксирующая границу литолого-стратиграфической несогласованности, размыв или перерыв осадконакопления. Выражается в единицах глубины (метры). Характеризует разрывность разреза, определяет особенности седиментационных процессов и условия сохранения нефтегазовых коллекторов. Важна для расчленения разрезов, выявления зон тектонических нарушений и прогнозирования перспектив нефтегазоносности."
86,Регио,"Признак: Регио
Описание: Регион нефтегазоносности — структурно-геологическое подразделение земной коры, характеризующееся единым типом ловушек углеводородов, общими условиями накопления и сохранения нефти и газа, а также наличием продуктивных горизонтов, связанных общей историей осадконакопления и тектонического развития. Обычно измеряется в условных единицах или географическими границами. Определение региона помогает прогнозировать размещение перспективных объектов добычи углеводородов и оптимизировать стратегию разведки и разработки месторождений."
87,Регион,"Признак: Регион  
Описание: Регион — категория геологической среды, объединяющая группы смежных месторождений или перспективных участков Каспийского моря, характеризующаяся общими природными условиями, геологическим строением и литолого-стратиграфическими особенностями. Важен для оценки региональной нефтегазоносности, выявления закономерностей распределения углеводородов и прогноза продуктивности новых площадей. Не имеет единиц измерения."
88,"Рпл, М","Признак: Рпл, М  
Описание: Рпл (реликтовая пластовая температура) — показатель исторической максимальной температуры, достигавшейся флюидами в коллекторах после формирования углеводородной залежи. Единица измерения — °C. Важен для понимания условий миграции и накопления углеводородов, оценки первичной и вторичной нефтегазоносности, прогноза сохранения качества запасов и оптимальных методов разработки месторождений."
89,Св УВ,"Св УВ — Степень насыщенности порового пространства углеводородами (%). 
Показатель отражает объем нефти или газа, присутствующих в пустотах породы относительно общего объема порового пространства. Измеряется в процентах. Высокая Св УВ свидетельствует о высокой потенциальной нефте- или газонасыщенности пласта, является ключевым параметром при оценке перспективности месторождения и выборе стратегии разработки."
90,Св г.,"Св г. — коэффициент вторичных преобразований горной породы (свободная вода/общая вода), измеряется в процентах (%). Характеризует степень насыщенности порового пространства породы свободными водами относительно общей воды, включая капиллярную и пленочную воду. Важен для оценки фазового состояния флюидов, выявления зон с возможной гидродинамической связью между коллекторами и водоносными горизонтами, а также прогноза изменения пластовых давлений и характера фильтрации флюидов."
91,Св н.,"Признак: «Св н.»
Описание: Структурно-временная характеристика формаций («Св н.»), определяющая положение пласта относительно стандартных горизонтов разрезов региона. Указывается в условных единицах счета (обычно сотые доли стратиграфической шкалы). Признак необходим для корректной корреляции слоев, определения возраста и подсчета интервалов нефтеносности в Каспийском море."
92,Свита,"Свита — это однородный по литологическому составу и условиям накопления слой горных пород, характеризующийся определённым комплексом отложений и возрастом. В нефтегазовой геологии свиты используются для разделения разрезов на временные интервалы и отражают специфические условия осадконакопления и палеогеографические обстановки. Размер свит варьируется от нескольких метров до сотен метров, измеряется в метрах. Свиты важны для изучения истории осадочных бассейнов, выявления потенциальных коллекторов и зон нефте- и газонакопления, а также определения границ перспективных нефтегазовых месторождений."
93,Систе,"Признак: «Систе»
Описание: Структурно-стратиграфический элемент (Систе), представляющий собой подразделение стратиграфической шкалы и используемый для классификации осадочных толщ. Включает группы и свиты, характеризующиеся общими условиями накопления осадков и тектоническим развитием региона. Единицей измерения является условная стратиграфическая единица («система», «отдел», «ярус»). Важность данного признака обусловлена возможностью выявления закономерностей распределения углеводородов в разрезе и прогноза нефтегазоносности территорий."
94,Система,"Система (сист.)  
Определение: Геологическая система — комплекс последовательно залегающих, генетически связанных друг с другом отложений определенной толщи, характеризующийся общими литолого-стратиграфическими признаками и одинаковым возрастом.  
Единицы измерения: Не применяются  
Значение: Признак используется для описания стратиграфической позиции и возраста отложений, что важно для корреляции разрезов, выявления зон тектонических нарушений и оценки потенциальной нефтегазоносности пластов.  
Важность: Система позволяет структурировать разрезы осадочных пород, определять палеогеографические условия накопления осадков и прогнозировать наличие перспективных коллекторов и ловушек углеводородов."
95,Сорг,"Признак: «Сорг, %»
Описание: Содержание органического углерода (Сорг), выраженное в процентах (%). Характеризует количество органического вещества в породе, имеющего потенциал генерировать углеводороды (нефть, природный газ). Повышенные значения Сорг (обычно ≥0.5–1.0%) свидетельствуют о высоком потенциальном нефтеотдаче отложений, что важно для прогноза нефтегазоносности участков и выбора перспективных объектов разведки и добычи."
96,Танке,"Признак: Танке (Tanke)

Описание: Танке — относительная глубина стратиграфической несогласованности между нижележащим палеозойским комплексом и верхним мезозойско-кайнозойским осадочным чехлом, измеряемая в метрах. Признак характеризует разрывную тектонику региона и глубину эрозионного среза до начала накопления новых осадков после перерыва в осадконакоплении. Важен для понимания особенностей структурной истории бассейна, прогноза перспектив нефтегазоносности и выбора оптимальной стратегии разведочного бурения.

Единицы измерения: м"
97,Темп,"Признак: Темп  
Описание: Темп — относительная скорость изменения физических свойств горных пород, чаще всего характеризующаяся температурным градиентом в разрезе скважины или литологическом профиле пласта. Выражается в °C/м или °C/100 м и отражает интенсивность теплового воздействия на породы, обусловленного региональными термальными условиями, глубиной залегания и историей тектонического развития района. Важен для определения палеотемператур, прогноза флюидонасыщенности и оценки перспектив нефтегазоносности продуктивных отложений."
98,Тип ф?,"Тип ф?  
Тип фациальной обстановки (типа фаций), характеризующий литолого-фациальную обстановку осадконакопления конкретного геологического слоя или горизонта. Выражается буквенным кодом, отражающим преобладающие природные условия среды седиментации (морские, прибрежные, лагунные, дельтовые, озёрные и др.). Например, тип ф = «МО» обозначает морская обстановка, тип ф = «ДЛ» — дельтовая. Указание типа фаций важно для понимания характера осадочных пород, потенциальной нефтегазоносности и возможностей прогноза коллекторских свойств отложений."
99,Тип флюида,"Тип флюида («FLUID TYPE»)  
Определение: Признак отражает природу содержащегося флюида (нефть, природный газ, конденсат) в изучаемом геологическом слое.  
Единицы измерения: отсутствует (описывается словами).  
Значение: Характеристика позволяет классифицировать породы по типу извлекаемого углеводорода, определять тип коллектора и прогнозировать потенциальную продуктивность скважины.  
Важность: От типа флюида зависят оптимальные методы добычи, оценка запасов и выбор технологии разработки месторождения.  
Расшифровка аббревиатуры: отсутствует"
100,Толщ.,"Признак: «Толщ.»

Описание: Толщина пласта — это расстояние между верхней и нижней границами геологического слоя, измеряемое в метрах (м). В нефтегазовой геологии толщина важна для количественной оценки запасов углеводородов, определения продуктивности коллекторов и прогнозирования распределения резервуаров. Толщина является ключевым параметром при оценке нефтегазоносности и проектировании разработки месторождений.  

Единица измерения: м"
101,Толщи,"**Признак:** Толщи  
**Описание:** 
Толщи — это комплекс пластовых отложений, объединённых общими литолого-стратиграфическими признаками и генетической связью, характеризующийся сходством состава, возраста и фациальной принадлежности. В нефтегазовой геологии толщи рассматриваются как потенциальные нефтегазоносные объекты или коллектора, определяющие объемы запасов углеводородов. Измеряются в метрах (м). Анализ толщ позволяет прогнозировать глубину и объём залежей нефти и газа, определять типы коллекторов и оценивать перспективы разведки месторождений."
102,"Тпл, С","Тпл, °C  
Температура пласта — показатель температурного режима коллектора, характеризующийся температурой жидкости внутри продуктивного горизонта. Измеряется в градусах Цельсия. Температурный режим влияет на фазовое состояние углеводородов, их подвижность и распределение по коллектору, определяя потенциальную продуктивность месторождения. Высокая температура увеличивает эффективность добычи нефти и газа, однако требует учета термических рисков при эксплуатации скважин."
103,Уд. На,"«Уд. На»

Определение: удельное акустическое затухание (уд. На), измеряемое в децибелах (дБ), представляет собой показатель поглощения звуковых волн породой, отражающий её литологическую структуру и пористость.

Применение: служит индикатором свойств горных пород, связанных с нефтегазоносностью, особенно помогает выявлять наличие трещиноватых зон, плотных коллекторов и слоёв, насыщенных нефтью и газом.

Значение: чем больше значение удельного акустического затухания, тем сильнее породы поглощают звуковые волны, указывая на возможное снижение проницаемости коллектора или повышенное содержание жидкости внутри пласта.

Важность: является важным параметром для оценки перспектив нефте- и газонакопления, оптимизации методов бурения и повышения эффективности добычи углеводородов."
104,Фация,"Фация  
Определение: Фация — природная обстановка, характеризующаяся определённым сочетанием литолого-петрографических признаков, фациальной обстановки осадконакопления и климатическими условиями, преобладающими в конкретный период геологической истории.  
Единицы измерения: отсутствуют  
Значение: Фации являются основой для расчленения разрезов горных пород и прогноза нефтегазоносности. Они позволяют выявить закономерности распределения органических остатков, оценить перспективы нефтегазоносности, установить связи между стратиграфическим положением и палеогеографической обстановкой отложений.  
Расшифровка аббревиатуры: отсутствует"
105,Флюид,"Флюид (жидкость/газ)
Определение: Флюидом называют любую подвижную фазу геологической среды, включая нефть, природный газ, воду и их смеси. Представляет собой жидкую или газообразную фазу, находящуюся в поровых пространствах горных пород и заполняющую пустоты коллектора.
Единицы измерения: объемный процент (%), плотность (кг/м³), давление (МПа), температура (°C).
Значение: Флюиды являются основным объектом изучения в нефтегазовой геологии, поскольку именно наличие и состояние флюидов определяют коммерческую ценность геологического разреза и потенциальную продуктивность месторождения. Анализ состава, распределения и движения флюида позволяет прогнозировать местоположение и объемы запасов углеводородов.
Расшифровка аббревиатур отсутствует."
106,Эрате,"Эрате (Erate) — индекс насыщенности глинистых минералов в карбонатной породе, выраженный в процентах (%). Вычисляется отношением количества граммов глинистого минерала (обычно монтмориллонитового типа) к общему весу породы. Эрате применяется для диагностики степени глинизации и изменения литолого-петрографических характеристик осадочных толщ, отражающих миграционные процессы флюидов и изменения палеотемператур. Важный индикатор нефтегазоносности и формационной принадлежности отложений."
107,Эратема,"Эратема — структурно-фациальная единица стратиграфической шкалы Земли, характеризующаяся определённым комплексом отложений и возрастным диапазоном, отражающим глобальные тектонические события и климатические изменения. В Каспийском море применяется для расчленения осадочного чехла региона и привязки нефтегазовых объектов к конкретному этапу геологической истории. Эратема измеряется в млн лет и служит основой для прогноза региональной нефтегазоносности, определения глубины проникновения палеотемператур и возраста потенциальной продуктивности коллекторов."
108,город,"Признак: город  
Описание: Геологический признак «город» применяется в нефтегазовой геологии для обозначения участка морского дна, ассоциированного с наличием подводной городской инфраструктуры, такой как платформы, трубопроводы, обустройства шельфовых месторождений и другие инженерные сооружения. Не является единицей измерения, используется исключительно для идентификации специфичных объектов морской среды. Признак важен для корректного учета техногенных факторов риска, влияния человеческой деятельности на структуру осадочных пород и нефтегазовые коллекторы, а также для предотвращения аварийных ситуаций и экологических последствий."
109,интер,"Интервал, м
Интервал — длина непрерывной части пласта или коллектора между двумя опорными поверхностями, определяемая расстоянием по вертикали в метрах. Важен для расчёта мощности продуктивных горизонтов, прогноза запасов углеводородов и выбора оптимального местоположения буровых работ."
110,прони,"Прони — пористость породы, характеризующая долю пустотного пространства, заполненного флюидами (нефтью, газом, водой). Выражается в процентах (%). Прони влияет на оценку нефте- и газонасыщенности пласта, возможности добычи углеводородов и перспектив коллекторских свойств исследуемого горизонта. Высокая проницаемость (≥20%) способствует эффективной фильтрации флюидов и повышает эффективность разработки месторождений."
111,скв.№,"Признак: скв. №  
Описание: Номер разведочной скважины — уникальный идентификатор, присваиваемый каждой скважине в процессе геологоразведки и эксплуатации месторождений углеводородов. Скважинный номер применяется для систематизации и идентификации объектов исследования и добычи нефти и газа, позволяя отслеживать результаты бурения, параметры пробуренных стволов, глубину и местоположение скважин относительно береговых координат. Не имеет единиц измерения. Является критическим признаком для обеспечения прослеживаемости геологической информации и оперативного управления эксплуатацией месторождения."
112,у,"Признак: «У»
Описание: Статистический коэффициент вариации пористости («У») — числовая характеристика степени рассеяния значений пористости в исследуемом интервале породы. Вычисляется как отношение стандартного отклонения к среднему значению пористости, умноженному на 100%. Единицы измерения отсутствуют. Коэффициент варьирует от 0 до 100%, где высокие значения указывают на неоднородность распределения порового пространства, что важно учитывать при оценке коллекторских свойств пласта и прогнозировании фильтрационно-емкостных характеристик."
113,х,"Признак: «Плотность порового флюида, г/см³»

Описание: Плотность порового флюида — физическая характеристика, отражающая массу жидкости, заполняющей поры горных пород, выраженная в граммах на кубический сантиметр. Применяется для определения гидродинамических свойств коллектора, прогноза поведения флюидов в пласте и оценки фазовых состояний флюидов. Важна для расчета насыщенности коллекторов, определения границ залежей и оптимизации разработки месторождений.

Единицы измерения: г/см³

Значение: высокая плотность свидетельствует о значительном содержании воды, снижая эффективность нефтегазонакопления. Низкая плотность характерна для нефтенасыщенных интервалов, указывая на благоприятные условия накопления углеводородов."
114,№скв,"Признак №скв — номер скважины.

Значение представляет собой уникальный идентификатор буровой скважины, используемый для идентификации конкретной точки наблюдения геологического разреза или коллекторских свойств коллектора. Единицы измерения отсутствуют.

Номер скважины является важным элементом баз данных нефтегазовых месторождений, поскольку позволяет отслеживать результаты геологоразведочных работ, керновых исследований, каротажных данных и пробуренных интервалов. В сочетании с прочими признаками (№пл, глубины, мощности пласта, качества коллектора), он помогает эффективно анализировать геологическое строение региона, прогнозировать нефте- и газонасыщенность и оптимизировать размещение новых скважин."
